"TargetFile","Key","SourceEnglish","ProposedMalay","Status","Note"
"lang\ms_MY\members.lang","MembersByTownDesc","This screen show you statistics of members by town.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MembershipPaid","Membership paid for current period (until %s)","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MembershipPublic","Public membership","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MembershipStatistics","Membership statistics","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MembersList","List of members","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MembersNature","Nature of members","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MembersShowMembershipTypesTable","Show a table to select its membership types before the registration form (if no, show directly the registration form)","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MembersShowVotesAllowed","Show whether votes are allowed, in the table of membership types","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MembersStatisticsDesc","Choose statistics you want to read...","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberStatusDraftShort","Draft","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberStatusExcluded","Excluded member","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberStatusExcludedShort","Excluded","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberStatusResiliated","Terminated member","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberStatusResiliatedShort","Terminated","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MembersTickets","Membership address sheet","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberSubscriptionStartAfter","Minimum period before the entry into force of the start date of a first membership subscription (excluding renewals)","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberSubscriptionStartAfterDesc","Example: +3m = +3 months, -5d = -5 days, +1Y = +1 year","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberSubscriptionStartAfterDesc2","This is the suggested date when creating a first membership subscription compared to the current date. For renewal, the date suggested by default will remain the end of the previous membership.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberSubscriptionStartFirstDayOf","Force the suggested date of a membership to corresponds to the first day of a","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberTypeCanNotBeDeleted","Member type can not be deleted","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberTypeDeleted","Member type deleted","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberTypeId","Member type id","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberTypeLabel","Member type label","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberTypeModified","Member type modified","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MenuMembersStats","Statistics","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MergeMembers","Merge members","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MergeOriginMember","Duplicated member (the member you want to delete)","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MergeOriginMemberIsMAndatory"," Origin member is mandatory for merging","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MinimumAmount","Minimum amount of membership payment (has priority on any default amounts that is lower)","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","Moral","Legal entity","","needs_translation","Direct en_US vs ms_MY gap"
