"TargetFile","Key","SourceEnglish","ProposedMalay","Status","Note"
"lang\ms_MY\products.lang","DefaultPriceRealPriceMayDependOnCustomer","Default price, real price may depend on customer","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","DefaultPriceType","Base of prices per default (with versus without tax) when adding new sale prices","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","DefaultUnitToShow","Unit","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","DefinitionOfBarCodeForProductNotComplete","Definition of type or value of barcode not complete for product %s.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","DefinitionOfBarCodeForThirdpartyNotComplete","Definition of type or value of barcode non complete for third party %s.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","DeleteLinkedProduct","Delete the child product linked to the combination","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","DeleteProductBuyPrice","Delete buying price","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","DeleteProductLine","Delete product line","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","DisablePriceByQty","Disable prices by quantity","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","DiscountQtyMin","Discount for this qty.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","DoNotRemovePreviousCombinations","Do not remove previous variants","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","DynamicPriceConfiguration","Dynamic price configuration","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","DynamicPriceDesc","You may define mathematical formulae to calculate Customer or Vendor prices. Such formulas can use all mathematical operators, some constants and variables. You can define here the variables you wish to use. If the variable needs an automatic update, you may define the external URL to allow Dolibarr to update the value automatically.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","EditProductCombination","Editing variant","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","EditProductCombinations","Editing variants","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","EditSellingPriceLabel","Edit selling price label","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ErrorAppliedPricesIntersectAnotherPeriod","The begin or end date intersect to another existing period.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ErrorAssociationIsFatherOfThis","One of selected product is parent with current product","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ErrorCopyProductCombinations","There was an error while copying the product variants","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ErrorCreatingProductAttributeValue","There was an error while creating the attribute value. It could be because there is already an existing value with that reference","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ErrorDeletingGeneratedProducts","There was an error while trying to delete existing product variants","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ErrorDestinationProductNotFound","Destination product not found","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ErrorPriceCantBeLowerThanMinPrice","Error, price can't be lower than minimum price.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ErrorProductAlreadyExists","A product with reference %s already exists.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ErrorProductBadRefOrLabel","Wrong value for reference or label.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ErrorProductClone","There was a problem while trying to clone the product or service.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ErrorProductCombinationNotFound","Product variant not found","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ErrorsProductsMerge","Errors in products merge","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ExpectedValuation","Expected Valuation","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ExportDataset_produit_1","Products","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ExportDataset_service_1","Services","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","Features","Features","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","FillBarCodeTypeAndValueFromProduct","Fill barcode type and value from barcode of a product.","","needs_translation","Direct en_US vs ms_MY gap"
